SampleID	mouse-number	Mouse_provider	experiment	source	sample	sex	diet
58-Si8-MAB_S27	58	CharlesRiver	Si8_FP001	MAB	58_Si8_MAB	Female	Chow
59-Si8-C_S27	59	CharlesRiver	Si8_FP001	Content	59_Si8_C	Female	WSD
59-Si8-MAB_S28	59	CharlesRiver	Si8_FP001	MAB	59_Si8_MAB	Female	WSD
60-Si8-C_S28	60	CharlesRiver	Si8_FP001	Content	60_Si8_C	Female	WSD
60-Si8-MAB_S29	60	CharlesRiver	Si8_FP001	MAB	60_Si8_MAB	Female	WSD
61-Si8-C_S29	61	CharlesRiver	Si8_FP001	Content	61_Si8_C	Female	Chow
61-Si8-MAB_S30	61	CharlesRiver	Si8_FP001	MAB	61_Si8_MAB	Female	WSD
62-Si8-C_S30	62	CharlesRiver	Si8_FP001	Content	62_Si8_C	Female	Chow
62-Si8-MAB_S31	62	CharlesRiver	Si8_FP001	MAB	62_Si8_MAB	Female	Chow
63-Si8-C_S31	63	CharlesRiver	Si8_FP001	Content	63_Si8_C	Female	Chow
63-Si8-MAB_S32	63	CharlesRiver	Si8_FP001	MAB	63_Si8_MAB	Female	Chow
64-Si8-C_S32	64	CharlesRiver	Si8_FP001	Content	64_Si8_C	Female	Chow
64-Si8-MAB_S33	64	CharlesRiver	Si8_FP001	MAB	64_Si8_MAB	Female	Chow
