sample_id	121-Si8-C	122-Si8-C	123-Si8-C	124-Si8-C	125-Si8-C	126-Si8-C	127-Si8-C	128-Si8-C	129-Si8-C	130-Si8-C	131-Si8-C	132-Si8-C	133-Si8-C	134-Si8-C	135-Si8-C	136-Si8-C	137-Si8-C	138-Si8-C	386-Si8-C	387-Si8-C	388-Si8-C	389-Si8-C	390-Si8-C	391-Si8-C	392-Si8-C	393-Si8-C	394-Si8-C	395-Si8-C	396-Si8-C	397-Si8-C	49-Si8-C	50-Si8-C	51-Si8-C	52-Si8-C	53-Si8-C	54-Si8-C	55-Si8-C	56-Si8-C	57-Si8-C	58-Si8-C	59-Si8-C	60-Si8-C	61-Si8-C	62-Si8-C	63-Si8-C	64-Si8-C
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002	0	0	0.001129816	0	0	0	0	0	0	0.000116139	0.001359599	0.000329767	0.005212975	0.000342258	0.001459502	0	0	0.000310038	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002769734	0	0.001313737	0.008744343	0.000544563	0.008026101	0.003348052	0.00088741	0.003154887	0.000832698	0	0.005191808	0.001386306	0.000303635	0.0056015
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	0	0	0.000971642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002998726	0	0	0	0	0	0.016697588	0.002496619	0	0.00015582	0.000283268	0.000482553	0	0.008360819	0.000862225	0.026035889	0.004439808	0	0.005052232	0	0.002482563	0.003255182	0.003927868	0.000434936	0.004476789
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	0	0	0.001513953	0	0	0	0	0	0	0.000798455	0.002911316	0.002051883	0.011022991	0.000573282	0.001543936	0.000341687	0.000371123	0.001999209	0	0	0	0	0	0	0.027608347	0	0	0.01127444	0	0.004761905	0	0	0	0	0.004333819	0.000726085	0.019249592	0.007448202	0.006156406	0.003563037	7.06E-05	0	0.004079278	0.003102686	0.000541618	0.005039144
d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	0	0.023293939	0.003344255	0.000241763	0.000198906	0.001670751	0	0.000334835	0	0.014677061	0	0.023266891	0.000160399	0.004141318	0.000325674	0.001409458	0	0.02123224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000965105	0.002052714	0.044297001	0.007442367	0.0045677	0	0.000499168	0	0.001030288	0.021397328	0.000535663	0.050281112	0.00587574	0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast	0	0.000119227	0.000497119	0	8.29E-05	0	0.000451082	0	0	0	0	0.000183204	0	0	0	0	0	0	0	0	0.001951854	0	0	0	0.003691814	0.120732723	0.001743919	0.146853147	0	0.015419501	5.19E-05	0	0	0	0	0	0.001305057	0	0.001109262	0.000165466	5.65E-05	0	0.001153735	0	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	0.001520157	0.001207171	0.000836064	0	0	0	0.000128881	0.001074264	0	0	0.002541859	0.001832039	0.006576368	0.000402153	0.004269948	0.000352365	0.001010278	0.001945754	0	0	0	0	0	0	0	0	0	0	0	0	0.008362333	0.007018759	0.002322285	0.004598079	0.013269924	0	0.014747145	0.004949294	0	0.001323729	0.000324611	0.001182173	0.000782892	0.003333737	0.000188746	0.003848274
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	0	0	0.004270704	3.45E-05	0	0	0	0.000111612	0	0.005995674	0.000280787	0.022900484	0.001488148	0.001813966	0.000446294	0	0.00010309	0.004725403	0	0.033426184	0	0	0	0	0.002247191	0	0.002845342	0	0	0	0	0	0	0	0.002377848	0.024278453	0	0.008539958	0.007210205	0.002481992	0.000903266	0.023288805	0.009271087	0.049554952	0.023617847	0.002822803
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	0.00017884	0.001355779	0	0	0.00033415	4.83E-05	0	5.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005401756	0.007553821	0.005428718	0.007307661	0.045716039	0.005717916	0.003588907	0.001188801	0.01530782	0.006629676	0.007169673	0.015722899	0.021920969	0.000627139	0.000237984	0.007961186
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284911717	0.098251457	0.07838458	0	0	0	0	0	0	0	0	0	0	0.001455675	0	0	0	0	0.000906506	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	0	0.002011952	0.00411253	0	0	0	0	0	0	0.014735131	0.000236452	0.047926132	0.00609517	0.003884625	0.000253302	0.022177613	0.003329794	0.191250521	0	0.052924791	0.012361744	0	0.001378993	0	0.007544141	0	0.014318495	0.019551877	0.005305316	0.075056689	0.00041552	0.000157371	0.002141328	0.001067411	0.131126793	0.059629697	0.014551387	0.027512252	0.028341653	0.002128997	0.00047986	0.024470978	0.014792534	0.049279891	0.016092633	0.000264638
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038955	0.00022032	0.000211117	0	0	0	0	0.02571692	0	0	0.000832698	0	0	0	3.28E-05	0.000231558
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured	0	0.06772083	0.004993786	0.000259032	0.00048069	0.000185639	0.001417686	0.001911352	0	0.008245866	0.011733932	0.028469881	0.00441989	0.000111234	0.006043061	5.34E-05	0.00029896	0.03665929	0	0.016713092	0.066363045	0	0.003447483	0	0.05858748	0.006661116	0.002937127	0.013415156	0.000728181	0	0.00020776	0	0.002442923	0.000246326	0.047710363	0.018469777	0.01004894	0.010577903	0.002218525	0.0019525	0.000437519	0.009102731	0.004161688	0.06624564	0.013581493	0.000540302
Unassigned;__;__;__;__;__	0.1372398	0.082132372	0.055745114	0.127132693	0.039399967	0.161914309	0.038728594	0.039175747	0.036503991	0	0.011807824	0.241792467	0.077749064	0.008316862	0.029660455	0.024088924	0.02595796	0.018484664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006	0	0.000685554	0.000723082	0	0	0	0	0.000251127	0	0.003745481	0.01149748	0.001209146	0.003243629	5.99E-05	0.008503709	0.000395075	0.000154634	0.001764008	0	0	0.007807417	0	0	0	0.027287319	0.023313905	0.001835704	0.027829314	0	0.00430839	0	0	0	0	0.018102324	0.002722817	0.001892333	0.004269979	0.001497504	0.005581724	0.000338725	0.001891477	0.004285302	0.007569673	0.000459555	0.001091631
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	0.0006486	0.026572676	0.001265394	0.000155419	0.000364661	0	0.005574082	0.015820975	8.72E-05	0.007665171	0.041763341	0.004177048	0.012261629	0.000487717	0.014353778	0.001217259	0.000309269	0.015127703	0.024025974	0	0.051398829	0.049104131	0	0.078383128	0.155858748	0.079100749	0.015878844	0.021549879	0.013575367	0	0.004259077	0.002801209	0.004101698	0.017489121	0.016836696	0.000408423	0.009526917	0.00798195	0.008707709	0.00636493	0	0.001182173	0.006922411	0.007503658	0.000516999	0.001510641
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.001621501	0.020447399	0.004925997	0.014695724	0.0033151	0.016076335	0.004091956	0.003976171	0.006280256	0.000900077	0	0.012201378	0.00292283	4.28E-05	0.000578976	0.007068647	0.00049483	0.000277965	0	0	0	0.0152935	0	0	0.003049759	0	0.003946765	0	0	0	0	0	0	0	7.67E-05	0	0.002610114	0.004536853	0.009761509	0	0.00023993	0.006501951	0.004573736	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	0.000912094	0.00257828	0.000316348	0	0	0	0	5.58E-05	0	0.001858223	0.003147768	0.005789242	0.000828729	0.000111234	0.002038478	0.00013881	0	0.011268268	0	0	0	0	0	0	0	0	0.006883892	0	0	0	0	0	0	0	0	0	0.008156607	0.002790043	0.003716029	0.002217246	0.000155249	0	0.00358482	0.003289727	0	0.000198478
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2	0	0.001803306	0.000248559	0	0	0	0	0.000111612	0	0.003324478	0.001330043	0.002638136	0.000383176	0.000102677	0.00024124	0.001046416	0.0006907	0.037642858	0	0	0	0.006747132	0.067340841	0	0	0.01498751	0	0	0.003536877	0.004761905	0	0	0.000542872	0	0.004103705	0.000907606	0	0.00468242	0.002884082	0	0.000282271	0	0.000700482	0.00235452	0.000344666	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.000547257	0.00026826	0.000180771	0.000224494	0	0	0.000161101	0.000167418	0	0	0	0.000696175	0.000240599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000717781	0.00155272	0	0	0	0.001063956	0.000288434	0	0	0.000176425
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038758528	0.016777752	0.060456942	0	0	0	0.024832311	0.005149277	0.03537415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	0.0003243	0.02988122	0.002259632	0.000103613	0	0.002042029	0.001014934	0.002608926	0	0.033201225	0.003738898	0.086032537	0.015549813	0.00788904	0.00150775	0.000160166	0.000577302	0.05666207	0	0	0.039037085	0.000974586	0.047805102	0.002811951	0.020545746	0	0.006792106	0.021407164	0.002288568	0	0.00028567	0.00022032	0.005398558	0	0.055112372	0.014839354	0.002544861	0.005555825	0.011980033	0.004235933	0.001256104	0.043858612	0.020066752	0.031488959	0.02020401	0.00073878
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured	0.000101344	0.002995574	0.000384137	0.000224494	0	0	0.000128881	6.98E-05	0	0.007432893	0	0.013703649	0.000650508	0.000282363	6.03E-05	0.00013881	4.12E-05	0.026663246	0	0	0.14638907	0	0.030337853	0	0.001284109	0	0.003946765	0	0.000520129	0	0	0	0.002774678	0	0.020595229	0.004946451	0.000261011	0.001504197	0.001830283	0.000264746	0.000437519	0.009693817	0	0.014721253	0.002125442	6.62E-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00114952	0	0.000544563	0.007504078	0.013198117	0.05124792	0	0	0.023998109	0.025794223	0	6.57E-05	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	0.000304031	0.001594659	0.000135578	0	0	0	6.44E-05	0	0	0.004631041	0.000266009	0.019529532	0.000712885	0.00050483	0.000229178	0	0.000113399	0.027080193	0	0.022284123	0.033832141	0	0.025741209	0	0	0	0	0	0	0	0	0	0.000180957	0	0.009933267	0.00158831	0.000391517	0.000800621	0.001830283	9.93E-05	0	0.00260078	0	0.004147917	0.00042673	3.31E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0	0.016378784	0	0.0002763	0	0.00033415	0.0024004	0.00027903	0	0.00502301	0.000310343	0.025978309	0.001612903	0.000479161	0	0	0	0.023220758	0	0	0.016265452	0	0.006435302	0	0	0	0	0	0	0	0.0002597	0	0	0.000410543	0.00176421	0.000726085	0.010766721	0.01382891	0.076927343	0.000187528	0.000366952	0.03002719	0.032757839	0.000429095	0.000164127	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	0	0.012652946	0	0	9.95E-05	0.000742556	0	0.00047435	0	0.005110114	0	0.020298989	0.000757441	0.000539056	0.00024124	3.20E-05	0	0.00860622	0	0	0	0	0	0	0	0	0	0	0	0	0.001739989	0.000314743	0.004101698	0	0.001994324	0.000363042	0.015399674	0.017419574	0.091569606	0.000132373	0.004389308	0.064901289	0.04215254	0.001012224	0.000164127	0.000176425
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Candidatus_Stoquefichus	0	0	0	0	0	0	0	0	0	0	0	0	0.000106933	0	0	0	0	0.000662839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000575286	0	0.006199021	0.001407152	0.000332779	0.000121342	0	0	0.000206024	0.000231051	0	0.000407983
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0	0.00307009	0.000723082	0	0	0	0.000370531	0.000823137	0	0.00137915	0.000443348	0.003554155	0.000329709	1.71E-05	0.000566914	0.000213554	0.000412358	0.021050493	0	0	0.002602472	0	0	0	0.002407705	0	0	0.002854289	0	0	0	0.000125897	0.001598456	0.001395845	0.006711667	0.000907606	0.000326264	0.000412441	0.001275652	8.82E-05	0	0.002718998	0.00119494	0.002530559	0.001058618	0.001201897
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125897	0	0	0	0.000680704	0.004306688	0.00994711	0.051469773	0	9.88E-05	0.019624069	0.016399522	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group	0	0	0	0	0	0	0	0	0	0.002453436	0.0003399	0.000146563	0.000819818	0.000171129	0	0.000245587	7.22E-05	0.015266686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000242612	0	0	0	0	0.001318555	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0.000222956	0.01605091	0.001242797	8.63E-05	0	0.001188089	0	0	0.000101763	0.002671196	0.000812804	0.012457863	0.003858492	0.001685619	0.000615162	8.54E-05	0	0.00972877	0	0	0	0	0.044357619	0	0.002889246	0	0	0	0	0	0	9.44E-05	0.000271436	0	0.025350924	0.005808677	0.000587276	0.000485225	0.003771492	0	0.000211703	0.03262797	0.001813012	0.011783604	0.012957811	0.000198478
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	0	0.000417294	0	0.000431719	0	0	4.83E-05	0	0	0.000406486	0	0.001868679	0.000908929	3.42E-05	0.000132682	3.20E-05	2.06E-05	0	0	0.114206128	0	0	0	0	0	0	0	0	0	0	0.00012985	0	0	0	0	0	0.001305057	0.000873405	0.004048808	7.72E-05	0	0.005910864	0.001153735	0	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0	0.003040284	0	0	4.97E-05	0.000482661	0	0.000111612	0	0	0	0	0	0	0	0	5.15E-05	0.001314988	0	0	0.14964216	0	0.03723282	0	0	0	0	0	0	0	0	0	0.001055584	0.001806388	0.003566771	0.001225268	0	0.00058227	0.002717693	0.000176497	4.23E-05	0.004846909	0.001524579	0.00158435	0.000459555	5.51E-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group	0	0	0.000180771	0	0	0	0	0	0	0.002119536	0.002778311	0.008354096	0.000819818	0.000128347	0.001073518	0	0	0.003891508	0	0	0	0	0	0	0.011075441	0	0	0.002854289	0	0	0	0	0	0	0.011659124	0.002858958	0.00365416	0.000558009	0.001885746	0.001036921	0.00023993	0	0.001236145	0.00447799	0.000722158	0.000540302
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0.000141881	0.000700458	0	0.000120881	0	0.001559367	0	0.000209272	0	0.011120305	0	0	0	0.000128347	0	0	0	0	0	0	0	0	0.004596644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019409	0	5.52E-05	0	0	0.001854217	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	0.0006486	0.005395013	0.000610101	0	0.000232057	0	0.003060912	0.000627816	0	0.002700231	0.001714277	0.008244174	0.001407949	0.000427822	0.00096496	0	0	0.003805981	0	0	0.007156799	0.000374841	0	0	0.002568218	0	0	0.020693592	0.000832206	0	0	0	0	0	0.008514229	0.000907606	0.003393148	0.003784754	0.007043816	0.001831158	9.88E-05	0.005319778	0.005315423	0.002288506	0.000467761	0.001279083
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_NK3B31_group	0	0	0.000293752	0	0	0	4.83E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015582	0	0	0	0.014612257	0.00317662	0.001109299	0.00097045	0.00177482	0	0	0.001891477	0	0.003586793	0.000623682	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group	0	0	0	0	0	0	0	9.77E-05	0	0.001524324	0	0.003077825	0.000124755	0	0.000108558	0.000384398	0.000123708	0.013363696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000482553	0	0.001188924	0.000862225	0.001631321	0.000994711	0.004658902	0	0	0	0	0.002684593	0.002978901	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0	0.003487384	0	0	0	0	0	0.001492808	0	0.000667799	0.002246294	0.001758757	0.000703974	0	0.000892588	0	0.000164943	0	0	0	0	0	0	0	0.012359551	0.01582015	0	0	0	0	0	0	0	0	0.000997162	0.000136141	0.001109299	0.002207773	0.009095951	0.000319901	0	0.012294597	0.00247229	0.000583129	0.000106682	0.000672621
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228385	0.00545878	0.028341653	0.000110311	0.000155249	0.01087599	0.015946269	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0	0.000104323	0	0	0	0	0	0	0	0	0	0	3.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000779099	0	9.05E-05	0.001477954	0	0.000907606	0.012463295	0.015939638	0.076317249	0.000341963	0	0.0287268	0.033417116	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	8.11E-05	0.000804781	0	0	0	0	0	8.37E-05	0	0.00281637	0	0.010552543	0.000160399	9.41E-05	8.44E-05	0	0	0.01184558	0.046103896	0	0.104098894	0	0.113077453	0	0	0	0	0	0	0	0	0	0.001146063	0	0.011313953	0.002995099	0	0.001285846	0.002551303	0	0	0.002009694	0.00119494	0.004312953	0.000837047	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0	0	0.00128799	8.63E-05	0	0	0	0	0	0.001538841	0.000221674	0.006192291	0	0.000111234	4.82E-05	0	0	0.029047329	0	0	0.004554327	0	0	0	0	0	0.001560349	0	0	0	0	0	0.001055584	0.000821085	0.021937562	0.003630423	0.002088091	0.002183512	0.008430394	0.000176497	0	0.007447689	0.004985784	0.01285084	0.001854633	0
